freq,sigma_ext,sigma_sc,d_wall_p
1600,3.7753294493905928e-05,7.7462926950468648e-06,1.8999999999999999
1605,3.8855288495026418e-05,8.026948792110842e-06,1.8999999999999999
1610,4.0030462203000904e-05,8.3235484491437084e-06,1.8999999999999999
1615,4.1287713102412074e-05,8.6373035722560497e-06,1.8999999999999999
1620,4.2636248794036354e-05,8.9695380542218892e-06,1.8999999999999999
1625,4.4085528934424148e-05,9.3217000064306462e-06,1.8999999999999999
1630,4.5645213322709758e-05,9.6953755474142532e-06,1.8999999999999999
1635,4.7325119228536222e-05,1.0092304374638252e-05,1.8999999999999999
1640,4.9135191177695958e-05,1.0514397383266092e-05,1.8999999999999999
1645,5.108548656807014e-05,1.0963756639779868e-05,1.8999999999999999
1650,5.3186180527109207e-05,1.1442698070366948e-05,1.8999999999999999
1655,5.5447593566236133e-05,1.1953777286437697e-05,1.8999999999999999
1660,5.7880245607149847e-05,1.2499819043428621e-05,1.8999999999999999
1665,6.0494940075380225e-05,1.3083950918806671e-05,1.8999999999999999
1670,6.3302881804737165e-05,1.3709641900665221e-05,1.8999999999999999
1675,6.6315832670939772e-05,1.4380746707979604e-05,1.8999999999999999
1680,6.9546309001240503e-05,1.5101556819031094e-05,1.8999999999999999
1685,7.3007825125836283e-05,1.5876859371042567e-05,1.8999999999999999
1690,7.6715187765631466e-05,1.6712005325218069e-05,1.8999999999999999
1695,8.0684846531259521e-05,1.7612988569390732e-05,1.8999999999999999
1700,8.4935306459960232e-05,1.8586537971415267e-05,1.8999999999999999
1705,8.9487609655374977e-05,1.9640224819489585e-05,1.8999999999999999
1710,9.4365894201981851e-05,2.0782588598801147e-05,1.8999999999999999
1715,9.9598040515291647e-05,2.2023284696488585e-05,1.8999999999999999
1720,0.00010521641733406234,2.3373258424628252e-05,1.8999999999999999
1725,0.00011125874269010463,2.4844950736179279e-05,1.8999999999999999
1730,0.00011776907888487085,2.6452542255090257e-05,1.8999999999999999
1735,0.00012479898539101184,2.8212243798435213e-05,1.8999999999999999
1740,0.00013240885985909409,3.0142643532021305e-05,1.8999999999999999
1745,0.0001406695053401572,3.2265123397406405e-05,1.8999999999999999
1750,0.00014966397203323089,3.4604360603273847e-05,1.8999999999999999
1755,0.00015948973482604947,3.7188934023223806e-05,1.8999999999999999
1760,0.00017026128461933412,4.0052060511345767e-05,1.8999999999999999
1765,0.000182113232654682,4.3232492796374198e-05,1.8999999999999999
1770,0.00019520405444911965,4.6775619195435145e-05,1.8999999999999999
1775,0.00020972063520094812,5.0734816478258537e-05,1.8999999999999999
1780,0.00022588382352928247,5.5173121561943761e-05,1.8999999999999999
1785,0.00024395525881967575,6.0165306368104935e-05,1.8999999999999999
1790,0.00026424581180292992,6.5800464272274461e-05,1.8999999999999999
1795,0.00028712607335882494,7.2185247795273952e-05,1.8999999999999999
1800,0.00031303944734877031,7.9447937218959626e-05,1.8999999999999999
1805,0.00034251855357540388,8.7743570699839196e-05,1.8999999999999999
1810,0.00037620583035780254,9.7260429852774036e-05,1.8999999999999999
1815,0.0004148794386069652,0.0001082282510623946,1.8999999999999999
1820,0.00045948579520709937,0.00012092861912420392,1.8999999999999999
1825,0.00051118025672214861,0.00013570808511654745,1.8999999999999999
1830,0.00057137752951409411,0.00015299460712289248,1.8999999999999999
1835,0.00064181307146583019,0.00017331787722537476,1.8999999999999999
1840,0.00072461561097450413,0.00019733383832040962,1.8999999999999999
1845,0.00082238802625578331,0.00022585294037540248,1.8999999999999999
1850,0.00093828746428558198,0.00025986991315145639,1.8999999999999999
1855,0.0010760825602310743,0.00030058906235757926,1.8999999999999999
1860,0.0012401405135853149,0.00034943160888091507,1.8999999999999999
1865,0.001435251347145522,0.00040799767856368512,1.8999999999999999
1870,0.0016661215617142584,0.00047793187157850838,1.8999999999999999
1875,0.0019362640002826626,0.0005606066766687273,1.8999999999999999
1880,0.0022459146089126099,0.00065650264829109561,1.8999999999999999
1885,0.002588670008972201,0.00076417223303220034,1.8999999999999999
1890,0.0029471098708690044,0.00087883338065176183,1.8999999999999999
1895,0.0032891872688188589,0.00099109931410386732,1.8999999999999999
1900,0.0035693719905531525,0.0010870651933757968,1.8999999999999999
1905,0.0037389253106362083,0.0011512050205674399,1.8999999999999999
1910,0.003764286006883155,0.0011719895652930379,1.8999999999999999
1915,0.0036429597281885883,0.0011471143589982522,1.8999999999999999
1920,0.0034043015690205917,0.001084295120396923,1.8999999999999999
1925,0.0030947271638197948,0.00099710895820088563,1.8999999999999999
1930,0.0027594506551501907,0.00089940134416066826,1.8999999999999999
1935,0.002431597725401087,0.00080171262224185656,1.8999999999999999
1940,0.0021302782440759662,0.00071042891285008093,1.8999999999999999
1945,0.0018636192634615279,0.00062854568580559785,1.8999999999999999
1950,0.001632852963069917,0.0005568509502871425,1.8999999999999999
1955,0.0014355970758200185,0.00049492013912440529,1.8999999999999999
1960,0.0012679626737578898,0.00044177715524089823,1.8999999999999999
1965,0.0011257263938170697,0.00039627498115370983,1.8999999999999999
1970,0.0010049016064045688,0.00035729014313262285,1.8999999999999999
1975,0.00090196851741092016,0.00032380835238068851,1.8999999999999999
1980,0.000813928380239117,0.00029495203947033669,1.8999999999999999
1985,0.00073827600897283816,0.00026997949592778712,1.8999999999999999
1990,0.00067294041617779016,0.00024827179778469312,1.8999999999999999
1995,0.00061621814940472457,0.00022931578469803708,1.8999999999999999
2000,0.00056671038260047788,0.00021268703141736847,1.8999999999999999
2005,0.00052326794427505366,0.00019803447760144362,1.8999999999999999
2010,0.00048494516370168516,0.00018506724835547843,1.8999999999999999
2015,0.00045096196536824839,0.00017354366717360335,1.8999999999999999
2020,0.00042067311091196943,0.00016326224142243563,1.8999999999999999
2025,0.00039354338983921576,0.0001540543311643297,1.8999999999999999
2030,0.00036912765012317813,0.00014577821312304718,1.8999999999999999
2035,0.00034705471522997926,0.00013831428178824866,1.8999999999999999
2040,0.00032701439940301211,0.00013156116847649942,1.8999999999999999
2045,0.00030874698440797109,0.00012543259779640393,1.8999999999999999
2050,0.00029203465009836418,0.00011985483512443417,1.8999999999999999
2055,0.00027669445722870956,0.00011476460772490522,1.8999999999999999
2060,0.00026257256665841169,0.00011010740585668144,1.8999999999999999
2065,0.0002495394468545885,0.00010583608936817946,1.8999999999999999
2070,0.00023748587525648034,0.00010190974051994536,1.8999999999999999
2075,0.00022631958120507848,9.829271590075636e-05,1.8999999999999999
2080,0.00021596241094445302,9.4953859847226308e-05,1.8999999999999999
2085,0.00020634792118094642,9.1865849361322095e-05,1.8999999999999999
2090,0.00019741932768159738,8.9004646450775658e-05,1.8999999999999999
2095,0.00018912775128598666,8.6349038586729335e-05,1.8999999999999999
2100,0.00018143071584299765,8.388025167221275e-05,1.8999999999999999
2105,0.00017429086227920622,8.1581622927348528e-05,1.8999999999999999
2110,0.00016767485029060345,7.9438323443403917e-05,1.8999999999999999
